"fips","geoid","name","eviction_definition","historical_average_start_year","historical_average_end_year"
"02016","0500000US02016","Aleutians West Census Area, Alaska","eviction","2016","2019"
"02020","0500000US02020","Anchorage Municipality, Alaska","eviction","2016","2019"
"02050","0500000US02050","Bethel Census Area, Alaska","eviction","2016","2019"
"02063","0500000US02063","Chugach Census Area, Alaska","eviction","2016","2019"
"02066","0500000US02066","Copper River Census Area, Alaska","eviction","2016","2019"
"02070","0500000US02070","Dillingham Census Area, Alaska","eviction","2016","2019"
"02090","0500000US02090","Fairbanks North Star Borough, Alaska","eviction","2016","2019"
"02100","0500000US02100","Haines Borough, Alaska","eviction","2016","2019"
"02110","0500000US02110","Juneau City and Borough, Alaska","eviction","2016","2019"
"02122","0500000US02122","Kenai Peninsula Borough, Alaska","eviction","2016","2019"
"02130","0500000US02130","Ketchikan Gateway Borough, Alaska","eviction","2016","2019"
"02150","0500000US02150","Kodiak Island Borough, Alaska","eviction","2016","2019"
"02170","0500000US02170","Matanuska-Susitna Borough, Alaska","eviction","2016","2019"
"02180","0500000US02180","Nome Census Area, Alaska","eviction","2016","2019"
"02185","0500000US02185","North Slope Borough, Alaska","eviction","2016","2019"
"02188","0500000US02188","Northwest Arctic Borough, Alaska","eviction","2016","2019"
"02195","0500000US02195","Petersburg Borough, Alaska","eviction","2016","2019"
"02198","0500000US02198","Prince of Wales-Hyder Census Area, Alaska","eviction","2016","2019"
"02220","0500000US02220","Sitka City and Borough, Alaska","eviction","2016","2019"
"02230","0500000US02230","Skagway Municipality, Alaska","eviction","2016","2019"
"02240","0500000US02240","Southeast Fairbanks Census Area, Alaska","eviction","2016","2019"
"02275","0500000US02275","Wrangell City and Borough, Alaska","eviction","2016","2019"
"02282","0500000US02282","Yakutat City and Borough, Alaska","eviction","2016","2019"
"02290","0500000US02290","Yukon-Koyukuk Census Area, Alaska","eviction","2016","2019"
"04013","0500000US04013","Maricopa County, Arizona","commercial, mobile home, unlawful ouster, residential, contract, poss prop, rent","2016","2019"
"04019","0500000US04019","Pima County, Arizona","eviction action","2016","2019"
"05001","0500000US05001","Arkansas County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05003","0500000US05003","Ashley County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05005","0500000US05005","Baxter County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05007","0500000US05007","Benton County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05009","0500000US05009","Boone County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05011","0500000US05011","Bradley County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05013","0500000US05013","Calhoun County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05015","0500000US05015","Carroll County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
