"fips","name","geoid","renter_population","total_population","renter_occupied_housing_units","total_occupied_housing_units","vacant_units_rented","median_rent","median_renter_income","percent_rent_burdened","rent_percent_of_income_30_35","rent_percent_of_income_35_40","rent_percent_of_income_40_50","rent_percent_of_income_50_plus","rent_percent_of_income_total_population","population_below_poverty_level","unemployment_rate","percent_renter_households","percent_in_poverty","renter_vacancy_rate"
"02016","Aleutians West Census Area, Alaska","0500000US02016","3341","4484","944","1306","13","1476","88900","11.33","38","23","28","18","944","412","4","72.28","7.6","1.38"
"02020","Anchorage Municipality, Alaska","0500000US02020","102140","284831","40408","106970","521","1310","57729","43.94","3889","2563","3486","7816","40408","25231","5.2","37.78","8.85","1.29"
"02050","Bethel Census Area, Alaska","0500000US02050","6377","17243","1989","4499","19","1368","53497","24.28","41","133","57","252","1989","5111","17.5","44.21","28.59","0.96"
"02063","Chugach Census Area, Alaska","0500000US02063","1952","6268","620","2310","5","1147","58649","35.48","108","54","3","55","620","330","2.8","26.84","5.18","0.81"
"02066","Copper River Census Area, Alaska","0500000US02066","627","2870","256","1063","10","757","48667","25.39","3","6","7","49","256","268","5.6","24.08","9.32","3.91"
"02070","Dillingham Census Area, Alaska","0500000US02070","1454","4527","566","1430","16","997","45833","24.73","40","21","38","41","566","862","11.6","39.58","17.65","2.83"
"02090","Fairbanks North Star Borough, Alaska","0500000US02090","36108","94182","14884","36199","441","1297","57211","40.96","1226","912","1558","2401","14884","6167","7.1","41.12","6.55","2.96"
"02100","Haines Borough, Alaska","0500000US02100","854","2505","362","917","2","695","60000","12.71","14","0","8","24","362","317","9","39.48","12.64","0.55"
"02110","Juneau City and Borough, Alaska","0500000US02110","9827","31560","4559","12878","43","1262","61276","36.39","328","192","340","799","4559","2197","4.4","35.4","6.95","0.94"
"02122","Kenai Peninsula Borough, Alaska","0500000US02122","14316","57251","5372","21781","79","1072","49082","40.36","498","368","382","920","5372","7300","8","24.66","12.68","1.47"
"02130","Ketchikan Gateway Borough, Alaska","0500000US02130","4501","13560","1914","5299","62","1188","46786","49.01","157","166","199","416","1914","1197","5.6","36.12","8.77","3.24"
"02150","Kodiak Island Borough, Alaska","0500000US02150","5994","13035","2129","4231","22","1412","62601","32.08","53","159","199","272","2129","961","6.2","50.32","7.32","1.03"
"02170","Matanuska-Susitna Borough, Alaska","0500000US02170","21270","105479","7419","31964","157","1115","41975","47.41","695","532","653","1637","7419","10826","9.9","23.21","10.29","2.12"
"02180","Nome Census Area, Alaska","0500000US02180","2818","9361","1061","2777","12","1232","60927","26.96","88","53","42","103","1061","2151","18.1","38.21","22.42","1.13"
"02185","North Slope Borough, Alaska","0500000US02185","3234","6494","1059","1991","37","1050","72639","22.76","50","29","49","113","1059","869","9.8","53.19","9.38","3.49"
"02188","Northwest Arctic Borough, Alaska","0500000US02188","2804","7258","774","1795","28","1286","67143","20.41","48","29","38","43","774","1773","16","43.12","23.19","3.62"
"02195","Petersburg Borough, Alaska","0500000US02195","797","3204","354","1204","9","931","32273","45.2","24","33","26","77","354","160","4.3","29.4","4.9","2.54"
"02198","Prince of Wales-Hyder Census Area, Alaska","0500000US02198","1664","6230","622","2353","17","801","37738","33.12","39","38","38","91","622","1156","9.7","26.43","18.41","2.73"
"02220","Sitka City and Borough, Alaska","0500000US02220","2857","8311","1401","3572","77","1159","52305","45.54","219","128","70","221","1401","551","5.4","39.22","6.57","5.5"
"02230","Skagway Municipality, Alaska","0500000US02230","392","1118","148","411","4","1090","62500","14.19","9","6","4","2","148","75","10","36.01","5.78","2.7"
"02240","Southeast Fairbanks Census Area, Alaska","0500000US02240","1778","6639","618","2287","16","973","41953","22.65","26","23","51","40","618","689","10.5","27.02","10.1","2.59"
"02275","Wrangell City and Borough, Alaska","0500000US02275","695","2458","284","989","7","868","38750","33.1","11","27","15","41","284","200","6","28.72","8.04","2.46"
"02282","Yakutat City and Borough, Alaska","0500000US02282","200","530","107","221","0","1071","58994","5.61","2","2","0","2","107","40","8.3","48.42","6.7","0"
"02290","Yukon-Koyukuk Census Area, Alaska","0500000US02290","1267","4885","477","1857","4","823","37202","18.03","13","17","11","45","477","1242","15","25.69","23.66","0.84"
"04013","Maricopa County, Arizona","0500000US04013","1554010","4357375","588297","1596784","7637","1182","47482","44.9","50600","37523","50829","125212","588297","553661","5.1","36.84","12.72","1.3"
"04019","Pima County, Arizona","0500000US04019","344077","1008140","147800","410942","2723","931","35890","47.44","12766","9038","12852","35466","147800","160957","6.8","35.97","15.94","1.84"
"05001","Arkansas County, Arkansas","0500000US05001","5921","17503","2531","7416","22","645","25043","33.82","129","132","144","451","2531","2781","4.8","34.13","15.97","0.87"
"05003","Ashley County, Arkansas","0500000US05003","4069","19827","1758","7716","13","530","21237","36.41","133","38","126","343","1758","3214","4.5","22.78","16.2","0.74"
"05005","Baxter County, Arkansas","0500000US05005","10107","41278","4381","18727","92","722","32917","33.55","276","252","388","554","4381","5225","5.4","23.39","12.7","2.1"
"05007","Benton County, Arkansas","0500000US05007","84384","270634","33959","99661","411","945","52204","29.43","1813","1837","2019","4326","33959","23155","2.6","34.07","8.57","1.21"
"05009","Boone County, Arkansas","0500000US05009","9806","37026","4208","15043","10","638","29365","30.82","342","173","249","533","4208","5037","4.5","27.97","13.66","0.24"
"05011","Bradley County, Arkansas","0500000US05011","3342","10610","1562","4233","8","565","31781","31.88","47","38","159","254","1562","1682","5.7","36.9","15.71","0.51"
"05013","Calhoun County, Arkansas","0500000US05013","835","5030","289","1754","0","647","37321","28.72","20","12","14","37","289","644","8","16.48","12.8","0"
"05015","Carroll County, Arkansas","0500000US05015","6958","27783","2759","11079","90","576","30066","27.62","217","136","143","266","2759","4216","4.5","24.9","15.19","3.26"
"05017","Chicot County, Arkansas","0500000US05017","3685","9705","1350","4052","0","568","21207","28.07","34","44","82","219","1350","2753","10.8","33.32","28.22","0"
"05019","Clark County, Arkansas","0500000US05019","7349","19909","3416","8336","0","600","23005","42.51","241","180","212","819","3416","4177","3.6","40.98","20.94","0"
