"fips","state","county","month_start_date","monthly_eviction_filings"
"47059","tennessee","greene","2016-01-01","6"
"47059","tennessee","greene","2016-02-01","7"
"47059","tennessee","greene","2016-03-01","9"
"47059","tennessee","greene","2016-04-01","12"
"47059","tennessee","greene","2016-05-01","10"
"47059","tennessee","greene","2016-06-01","16"
"47059","tennessee","greene","2016-07-01","16"
"47059","tennessee","greene","2016-08-01","21"
"47059","tennessee","greene","2016-09-01","21"
"47059","tennessee","greene","2016-10-01","11"
"47059","tennessee","greene","2016-11-01","8"
"47059","tennessee","greene","2016-12-01","7"
"47059","tennessee","greene","2017-01-01","18"
"47059","tennessee","greene","2017-02-01","16"
"47059","tennessee","greene","2017-03-01","17"
"47059","tennessee","greene","2017-04-01","9"
"47059","tennessee","greene","2017-05-01","26"
"47059","tennessee","greene","2017-06-01","21"
"47059","tennessee","greene","2017-07-01","20"
"47059","tennessee","greene","2017-08-01","26"
"47059","tennessee","greene","2017-09-01","29"
"47059","tennessee","greene","2017-10-01","26"
"47059","tennessee","greene","2017-11-01","27"
"47059","tennessee","greene","2017-12-01","18"
"47059","tennessee","greene","2018-01-01","16"
"47059","tennessee","greene","2018-02-01","30"
"47059","tennessee","greene","2018-03-01","14"
"47059","tennessee","greene","2018-04-01","19"
"47059","tennessee","greene","2018-05-01","46"
"47059","tennessee","greene","2018-06-01","20"
"47059","tennessee","greene","2018-07-01","49"
"47059","tennessee","greene","2018-08-01","45"
"47059","tennessee","greene","2018-09-01","34"
"47059","tennessee","greene","2018-10-01","30"
"47059","tennessee","greene","2018-11-01","21"
"47059","tennessee","greene","2018-12-01","18"
"47059","tennessee","greene","2019-01-01","39"
"47059","tennessee","greene","2019-02-01","24"
"47059","tennessee","greene","2019-03-01","20"
"47059","tennessee","greene","2019-04-01","16"
"47059","tennessee","greene","2019-05-01","20"
"47059","tennessee","greene","2019-06-01","29"
"47059","tennessee","greene","2019-07-01","38"
"47059","tennessee","greene","2019-08-01","26"
"47059","tennessee","greene","2019-09-01","19"
"47059","tennessee","greene","2019-10-01","15"
"47059","tennessee","greene","2019-11-01","16"
"47059","tennessee","greene","2019-12-01","20"
"47059","tennessee","greene","2020-01-01","20"
"47059","tennessee","greene","2020-02-01","13"
"47059","tennessee","greene","2020-03-01","8"
"47059","tennessee","greene","2020-04-01","0"
"47059","tennessee","greene","2020-05-01","1"
"47059","tennessee","greene","2020-06-01","18"
"47059","tennessee","greene","2020-07-01","26"
"47059","tennessee","greene","2020-08-01","12"
"47059","tennessee","greene","2020-09-01","20"
"47059","tennessee","greene","2020-10-01","25"
"47059","tennessee","greene","2020-11-01","10"
"47059","tennessee","greene","2020-12-01","7"
"47059","tennessee","greene","2021-01-01","19"
"47059","tennessee","greene","2021-02-01","9"
"47059","tennessee","greene","2021-03-01","11"
"47059","tennessee","greene","2021-04-01","20"
"47059","tennessee","greene","2021-05-01","12"
"47059","tennessee","greene","2021-06-01","19"
"47059","tennessee","greene","2021-07-01","25"
"47059","tennessee","greene","2021-08-01","23"
"47059","tennessee","greene","2021-09-01","28"
"47059","tennessee","greene","2021-10-01","23"
"47059","tennessee","greene","2021-11-01","17"
"47059","tennessee","greene","2021-12-01","20"
"47059","tennessee","greene","2022-01-01","40"
"47059","tennessee","greene","2022-02-01","25"
"47059","tennessee","greene","2022-03-01","26"
"47059","tennessee","greene","2022-04-01","25"
"47059","tennessee","greene","2022-05-01","34"
"47059","tennessee","greene","2022-06-01","25"
"47059","tennessee","greene","2022-07-01","17"
"47059","tennessee","greene","2022-08-01","25"
"47059","tennessee","greene","2022-09-01","30"
"47059","tennessee","greene","2022-10-01","22"
"47059","tennessee","greene","2022-11-01","30"
"47059","tennessee","greene","2022-12-01","19"
"47131","tennessee","obion","2016-01-01","12"
"47131","tennessee","obion","2016-02-01","8"
"47131","tennessee","obion","2016-03-01","13"
"47131","tennessee","obion","2016-04-01","16"
"47131","tennessee","obion","2016-05-01","21"
"47131","tennessee","obion","2016-06-01","15"
"47131","tennessee","obion","2016-07-01","17"
"47131","tennessee","obion","2016-08-01","12"
"47131","tennessee","obion","2016-09-01","18"
"47131","tennessee","obion","2016-10-01","9"
"47131","tennessee","obion","2016-11-01","4"
"47131","tennessee","obion","2016-12-01","20"
"47131","tennessee","obion","2017-01-01","15"
"47131","tennessee","obion","2017-02-01","12"
"47131","tennessee","obion","2017-03-01","13"
"47131","tennessee","obion","2017-04-01","11"
"47131","tennessee","obion","2017-05-01","15"
"47131","tennessee","obion","2017-06-01","17"
"47131","tennessee","obion","2017-07-01","24"
"47131","tennessee","obion","2017-08-01","15"
"47131","tennessee","obion","2017-09-01","17"
"47131","tennessee","obion","2017-10-01","12"
"47131","tennessee","obion","2017-11-01","19"
"47131","tennessee","obion","2017-12-01","7"
"47131","tennessee","obion","2018-01-01","13"
"47131","tennessee","obion","2018-02-01","16"
"47131","tennessee","obion","2018-03-01","9"
"47131","tennessee","obion","2018-04-01","12"
"47131","tennessee","obion","2018-05-01","10"
"47131","tennessee","obion","2018-06-01","18"
"47131","tennessee","obion","2018-07-01","20"
"47131","tennessee","obion","2018-08-01","19"
"47131","tennessee","obion","2018-09-01","18"
"47131","tennessee","obion","2018-10-01","21"
"47131","tennessee","obion","2018-11-01","23"
"47131","tennessee","obion","2018-12-01","20"
"47131","tennessee","obion","2019-01-01","20"
"47131","tennessee","obion","2019-02-01","9"
"47131","tennessee","obion","2019-03-01","15"
"47131","tennessee","obion","2019-04-01","15"
"47131","tennessee","obion","2019-05-01","11"
"47131","tennessee","obion","2019-06-01","21"
"47131","tennessee","obion","2019-07-01","23"
"47131","tennessee","obion","2019-08-01","19"
"47131","tennessee","obion","2019-09-01","25"
"47131","tennessee","obion","2019-10-01","18"
"47131","tennessee","obion","2019-11-01","7"
"47131","tennessee","obion","2019-12-01","15"
"47131","tennessee","obion","2020-01-01","20"
"47131","tennessee","obion","2020-02-01","19"
"47131","tennessee","obion","2020-03-01","10"
"47131","tennessee","obion","2020-04-01","0"
"47131","tennessee","obion","2020-05-01","3"
"47131","tennessee","obion","2020-06-01","12"
"47131","tennessee","obion","2020-07-01","15"
"47131","tennessee","obion","2020-08-01","21"
"47131","tennessee","obion","2020-09-01","19"
"47131","tennessee","obion","2020-10-01","16"
"47131","tennessee","obion","2020-11-01","8"
"47131","tennessee","obion","2020-12-01","13"
"47131","tennessee","obion","2021-01-01","10"
"47131","tennessee","obion","2021-02-01","5"
"47131","tennessee","obion","2021-03-01","11"
"47131","tennessee","obion","2021-04-01","6"
"47131","tennessee","obion","2021-05-01","9"
"47131","tennessee","obion","2021-06-01","20"
"47131","tennessee","obion","2021-07-01","22"
"47131","tennessee","obion","2021-08-01","20"
"47131","tennessee","obion","2021-09-01","18"
"47131","tennessee","obion","2021-10-01","20"
"47131","tennessee","obion","2021-11-01","9"
"47131","tennessee","obion","2021-12-01","15"
"47131","tennessee","obion","2022-01-01","19"
"47131","tennessee","obion","2022-02-01","10"
"47131","tennessee","obion","2022-03-01","18"
"47131","tennessee","obion","2022-04-01","15"
"47131","tennessee","obion","2022-05-01","9"
"47131","tennessee","obion","2022-06-01","25"
"47131","tennessee","obion","2022-07-01","10"
"47131","tennessee","obion","2022-08-01","13"
"47131","tennessee","obion","2022-09-01","16"
"47131","tennessee","obion","2022-10-01","12"
"47131","tennessee","obion","2022-11-01","11"
"47131","tennessee","obion","2022-12-01","15"
"47037","tennessee","davidson","2016-01-01","682"
"47037","tennessee","davidson","2016-02-01","906"
"47037","tennessee","davidson","2016-03-01","738"
"47037","tennessee","davidson","2016-04-01","760"
"47037","tennessee","davidson","2016-05-01","901"
"47037","tennessee","davidson","2016-06-01","928"
"47037","tennessee","davidson","2016-07-01","833"
"47037","tennessee","davidson","2016-08-01","970"
"47037","tennessee","davidson","2016-09-01","857"
"47037","tennessee","davidson","2016-10-01","1096"
"47037","tennessee","davidson","2016-11-01","639"
"47037","tennessee","davidson","2016-12-01","941"
"47037","tennessee","davidson","2017-01-01","729"
"47037","tennessee","davidson","2017-02-01","709"
"47037","tennessee","davidson","2017-03-01","641"
"47037","tennessee","davidson","2017-04-01","692"
"47037","tennessee","davidson","2017-05-01","900"
"47037","tennessee","davidson","2017-06-01","833"
"47037","tennessee","davidson","2017-07-01","1147"
"47037","tennessee","davidson","2017-08-01","700"
"47037","tennessee","davidson","2017-09-01","788"
"47037","tennessee","davidson","2017-10-01","805"
"47037","tennessee","davidson","2017-11-01","731"
"47037","tennessee","davidson","2017-12-01","681"
"47037","tennessee","davidson","2018-01-01","1122"
"47037","tennessee","davidson","2018-02-01","866"
"47037","tennessee","davidson","2018-03-01","752"
"47037","tennessee","davidson","2018-04-01","731"
"47037","tennessee","davidson","2018-05-01","971"
"47037","tennessee","davidson","2018-06-01","902"
"47037","tennessee","davidson","2018-07-01","1008"
"47037","tennessee","davidson","2018-08-01","942"
"47037","tennessee","davidson","2018-09-01","944"
"47037","tennessee","davidson","2018-10-01","930"
"47037","tennessee","davidson","2018-11-01","771"
"47037","tennessee","davidson","2018-12-01","604"
"47037","tennessee","davidson","2019-01-01","1311"
"47037","tennessee","davidson","2019-02-01","822"
"47037","tennessee","davidson","2019-03-01","757"
"47037","tennessee","davidson","2019-04-01","890"
"47037","tennessee","davidson","2019-05-01","951"
"47037","tennessee","davidson","2019-06-01","867"
"47037","tennessee","davidson","2019-07-01","990"
"47037","tennessee","davidson","2019-08-01","1145"
"47037","tennessee","davidson","2019-09-01","1268"
"47037","tennessee","davidson","2019-10-01","797"
"47037","tennessee","davidson","2019-11-01","900"
"47037","tennessee","davidson","2019-12-01","778"
"47037","tennessee","davidson","2020-01-01","1156"
"47037","tennessee","davidson","2020-02-01","943"
"47037","tennessee","davidson","2020-03-01","624"
"47037","tennessee","davidson","2020-04-01","122"
"47037","tennessee","davidson","2020-05-01","140"
"47037","tennessee","davidson","2020-06-01","371"
"47037","tennessee","davidson","2020-07-01","242"
"47037","tennessee","davidson","2020-08-01","326"
"47037","tennessee","davidson","2020-09-01","647"
"47037","tennessee","davidson","2020-10-01","579"
"47037","tennessee","davidson","2020-11-01","416"
"47037","tennessee","davidson","2020-12-01","715"
"47037","tennessee","davidson","2021-01-01","623"
"47037","tennessee","davidson","2021-02-01","423"
"47037","tennessee","davidson","2021-03-01","576"
"47037","tennessee","davidson","2021-04-01","421"
"47037","tennessee","davidson","2021-05-01","424"
"47037","tennessee","davidson","2021-06-01","674"
"47037","tennessee","davidson","2021-07-01","640"
"47037","tennessee","davidson","2021-08-01","683"
"47037","tennessee","davidson","2021-09-01","725"
"47037","tennessee","davidson","2021-10-01","717"
"47037","tennessee","davidson","2021-11-01","646"
"47037","tennessee","davidson","2021-12-01","743"
