"fips","state","county","week_start_date","eviction_filings"
"47059","tennessee","greene","2016-01-04","0"
"47059","tennessee","greene","2016-01-11","3"
"47059","tennessee","greene","2016-01-18","1"
"47059","tennessee","greene","2016-01-25","2"
"47059","tennessee","greene","2016-02-01","2"
"47059","tennessee","greene","2016-02-08","2"
"47059","tennessee","greene","2016-02-15","0"
"47059","tennessee","greene","2016-02-22","3"
"47059","tennessee","greene","2016-02-29","1"
"47059","tennessee","greene","2016-03-07","1"
"47059","tennessee","greene","2016-03-14","4"
"47059","tennessee","greene","2016-03-21","2"
"47059","tennessee","greene","2016-03-28","2"
"47059","tennessee","greene","2016-04-04","1"
"47059","tennessee","greene","2016-04-11","2"
"47059","tennessee","greene","2016-04-18","1"
"47059","tennessee","greene","2016-04-25","7"
"47059","tennessee","greene","2016-05-02","2"
"47059","tennessee","greene","2016-05-09","1"
"47059","tennessee","greene","2016-05-16","6"
"47059","tennessee","greene","2016-05-23","1"
"47059","tennessee","greene","2016-05-30","4"
"47059","tennessee","greene","2016-06-06","3"
"47059","tennessee","greene","2016-06-13","5"
"47059","tennessee","greene","2016-06-20","3"
"47059","tennessee","greene","2016-06-27","1"
"47059","tennessee","greene","2016-07-04","6"
"47059","tennessee","greene","2016-07-11","1"
"47059","tennessee","greene","2016-07-18","3"
"47059","tennessee","greene","2016-07-25","6"
"47059","tennessee","greene","2016-08-01","8"
"47059","tennessee","greene","2016-08-08","5"
"47059","tennessee","greene","2016-08-15","4"
"47059","tennessee","greene","2016-08-22","3"
"47059","tennessee","greene","2016-08-29","6"
"47059","tennessee","greene","2016-09-05","4"
"47059","tennessee","greene","2016-09-12","2"
"47059","tennessee","greene","2016-09-19","3"
"47059","tennessee","greene","2016-09-26","7"
"47059","tennessee","greene","2016-10-03","4"
"47059","tennessee","greene","2016-10-10","1"
"47059","tennessee","greene","2016-10-17","3"
"47059","tennessee","greene","2016-10-24","3"
"47059","tennessee","greene","2016-10-31","3"
"47059","tennessee","greene","2016-11-07","1"
"47059","tennessee","greene","2016-11-14","3"
"47059","tennessee","greene","2016-11-21","1"
"47059","tennessee","greene","2016-11-28","1"
"47059","tennessee","greene","2016-12-05","2"
"47059","tennessee","greene","2016-12-12","0"
"47059","tennessee","greene","2016-12-19","3"
"47059","tennessee","greene","2016-12-26","1"
"47059","tennessee","greene","2017-01-02","4"
"47059","tennessee","greene","2017-01-09","3"
"47059","tennessee","greene","2017-01-16","6"
"47059","tennessee","greene","2017-01-23","2"
"47059","tennessee","greene","2017-01-30","4"
"47059","tennessee","greene","2017-02-06","5"
"47059","tennessee","greene","2017-02-13","1"
"47059","tennessee","greene","2017-02-20","8"
"47059","tennessee","greene","2017-02-27","4"
"47059","tennessee","greene","2017-03-06","0"
"47059","tennessee","greene","2017-03-13","7"
"47059","tennessee","greene","2017-03-20","3"
"47059","tennessee","greene","2017-03-27","4"
"47059","tennessee","greene","2017-04-03","3"
"47059","tennessee","greene","2017-04-10","2"
"47059","tennessee","greene","2017-04-17","3"
"47059","tennessee","greene","2017-04-24","1"
"47059","tennessee","greene","2017-05-01","2"
"47059","tennessee","greene","2017-05-08","3"
"47059","tennessee","greene","2017-05-15","11"
"47059","tennessee","greene","2017-05-22","6"
"47059","tennessee","greene","2017-05-29","6"
"47059","tennessee","greene","2017-06-05","3"
"47059","tennessee","greene","2017-06-12","4"
"47059","tennessee","greene","2017-06-19","5"
"47059","tennessee","greene","2017-06-26","7"
"47059","tennessee","greene","2017-07-03","7"
"47059","tennessee","greene","2017-07-10","6"
"47059","tennessee","greene","2017-07-17","5"
"47059","tennessee","greene","2017-07-24","2"
"47059","tennessee","greene","2017-07-31","7"
"47059","tennessee","greene","2017-08-07","3"
"47059","tennessee","greene","2017-08-14","7"
"47059","tennessee","greene","2017-08-21","5"
"47059","tennessee","greene","2017-08-28","5"
