"fips","state","county","week_start_date","eviction_filings"
"47037","tennessee","davidson","2016-01-04","125"
"47037","tennessee","davidson","2016-01-11","200"
"47037","tennessee","davidson","2016-01-18","131"
"47037","tennessee","davidson","2016-01-25","226"
"47037","tennessee","davidson","2016-02-01","413"
"47037","tennessee","davidson","2016-02-08","74"
"47037","tennessee","davidson","2016-02-15","172"
"47037","tennessee","davidson","2016-02-22","134"
"47037","tennessee","davidson","2016-02-29","329"
"47037","tennessee","davidson","2016-03-07","90"
"47037","tennessee","davidson","2016-03-14","169"
"47037","tennessee","davidson","2016-03-21","144"
"47037","tennessee","davidson","2016-03-28","148"
"47037","tennessee","davidson","2016-04-04","217"
"47037","tennessee","davidson","2016-04-11","158"
"47037","tennessee","davidson","2016-04-18","193"
"47037","tennessee","davidson","2016-04-25","163"
"47037","tennessee","davidson","2016-05-02","305"
"47037","tennessee","davidson","2016-05-09","128"
"47037","tennessee","davidson","2016-05-16","222"
"47037","tennessee","davidson","2016-05-23","213"
"47037","tennessee","davidson","2016-05-30","117"
"47037","tennessee","davidson","2016-06-06","310"
"47037","tennessee","davidson","2016-06-13","172"
"47037","tennessee","davidson","2016-06-20","219"
"47037","tennessee","davidson","2016-06-27","343"
"47037","tennessee","davidson","2016-07-04","102"
"47037","tennessee","davidson","2016-07-11","158"
"47037","tennessee","davidson","2016-07-18","248"
"47037","tennessee","davidson","2016-07-25","125"
"47037","tennessee","davidson","2016-08-01","357"
"47037","tennessee","davidson","2016-08-08","133"
"47037","tennessee","davidson","2016-08-15","191"
"47037","tennessee","davidson","2016-08-22","217"
"47037","tennessee","davidson","2016-08-29","275"
"47037","tennessee","davidson","2016-09-05","116"
"47037","tennessee","davidson","2016-09-12","178"
"47037","tennessee","davidson","2016-09-19","215"
"47037","tennessee","davidson","2016-09-26","145"
"47037","tennessee","davidson","2016-10-03","302"
"47037","tennessee","davidson","2016-10-10","161"
"47037","tennessee","davidson","2016-10-17","207"
"47037","tennessee","davidson","2016-10-24","176"
"47037","tennessee","davidson","2016-10-31","348"
"47037","tennessee","davidson","2016-11-07","77"
"47037","tennessee","davidson","2016-11-14","188"
"47037","tennessee","davidson","2016-11-21","133"
"47037","tennessee","davidson","2016-11-28","183"
"47037","tennessee","davidson","2016-12-05","124"
"47037","tennessee","davidson","2016-12-12","158"
"47037","tennessee","davidson","2016-12-19","179"
"47037","tennessee","davidson","2016-12-26","440"
"47037","tennessee","davidson","2017-01-02","116"
"47037","tennessee","davidson","2017-01-09","134"
"47037","tennessee","davidson","2017-01-16","213"
"47037","tennessee","davidson","2017-01-23","211"
"47037","tennessee","davidson","2017-01-30","124"
"47037","tennessee","davidson","2017-02-06","216"
"47037","tennessee","davidson","2017-02-13","170"
"47037","tennessee","davidson","2017-02-20","188"
"47037","tennessee","davidson","2017-02-27","126"
"47037","tennessee","davidson","2017-03-06","201"
"47037","tennessee","davidson","2017-03-13","141"
"47037","tennessee","davidson","2017-03-20","142"
"47037","tennessee","davidson","2017-03-27","97"
"47037","tennessee","davidson","2017-04-03","197"
"47037","tennessee","davidson","2017-04-10","124"
"47037","tennessee","davidson","2017-04-17","222"
"47037","tennessee","davidson","2017-04-24","149"
"47037","tennessee","davidson","2017-05-01","354"
"47037","tennessee","davidson","2017-05-08","106"
"47037","tennessee","davidson","2017-05-15","221"
"47037","tennessee","davidson","2017-05-22","182"
"47037","tennessee","davidson","2017-05-29","104"
"47037","tennessee","davidson","2017-06-05","253"
"47037","tennessee","davidson","2017-06-12","168"
"47037","tennessee","davidson","2017-06-19","201"
"47037","tennessee","davidson","2017-06-26","144"
"47037","tennessee","davidson","2017-07-03","306"
"47037","tennessee","davidson","2017-07-10","134"
